kid_id,master_id,attribute,f_KID_design,F_filter_design,f_KID_meas,ferr_KID_meas,F_filter_meas,Ferr_filter_meas,Q_filter_meas,Qerr_filter_meas
24,117,filter,5.78333333333,348.307430864,5.38604030357,2.49614680398E-07,355.035973389,0.00705305052766,238.327887132,3.19169441557
25,116,filter,5.76666666667,355.353879911,5.38907852394,3.68953202428E-07,361.078581559,0.00194834471222,318.475263981,1.54801523923
26,119,filter,5.81666666667,334.630942335,5.39306964739,2.56647858856E-07,342.144411123,0.00465645101461,265.130978006,2.70602374011
27,120,filter,5.83333333333,327.995416404,5.40583714057,4.35453343406E-07,335.236827578,0.00217563241906,372.621449528,2.54871657931
28,121,filter,5.85,368.820530099,5.46323283229,1.11915849072E-06,373.79967814,0.00669037475534,247.898082083,3.11611100036
29,122,filter,5.86666666667,361.507045654,5.48899058877,2.90925671577E-07,366.417460661,0.00168039459029,313.530010294,1.27518433985
30,123,filter,5.88333333333,354.338583112,5.49707737874,8.58614104867E-07,360.240138009,0.0059820751649,269.482526068,3.41096414641
31,125,filter,6.11666666667,340.425277974,5.67592089056,6.24426801863E-07,347.899030431,0.00211064201877,377.333853991,2.44317901633
32,124,filter,6.1,347.312266776,5.6782420956,7.23454772253E-07,354.102731623,0.00281210299318,374.873840939,3.15654950307
33,126,filter,6.13333333333,333.674853928,5.68540170393,4.3752302862E-07,341.404259198,0.00457618184309,310.790679833,3.66200830289
34,127,filter,6.15,327.058286643,5.69590224936,7.59127394891E-07,334.072899627,0.00330853264884,289.119813802,2.34167758685
35,128,filter,6.16666666667,367.766757156,5.74758680477,1.52407163361E-06,372.873734193,0.0039203786357,380.499757598,4.30681112548
36,129,filter,6.18333333333,360.474168381,5.77135658306,1.15161273055E-06,365.876668987,0.00648497069122,259.563721958,3.37794882658
37,131,filter,6.21666666667,346.319946013,5.78263476858,9.43527872826E-07,353.110458792,0.00428448891874,252.938999681,2.19572980793
38,130,filter,6.2,353.32618716,5.78795914012,1.21999142138E-06,359.042628775,0.00165576674943,341.963357539,1.52534876333
39,132,filter,6.23333333333,339.452634323,5.79041319855,1.31045935398E-06,346.886090334,0.00653408322382,237.760332082,3.01192430943
40,133,filter,6.25,332.721497203,5.79841615825,1.85403229559E-06,340.465167565,0.00201608806718,304.953517937,1.55762175354
41,134,filter,6.26666666667,326.123834395,5.80533543157,1.60704148725E-06,333.322247868,0.00470333787185,304.684049928,3.70519390721
42,135,filter,6.28333333333,366.715994993,5.85618594566,2.32535953959E-06,371.704397494,0.0076749079895,225.302944492,2.9672431942
43,136,filter,6.3,359.444242186,5.87122416854,7.06662166007E-07,364.942972276,0.00230264059501,306.771699021,1.67960316695
44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
45,137,filter,6.31666666667,352.316683768,5.88396736425,7.76465391786E-07,358.376656026,0.00613843518349,253.465338399,3.11252046803
46,138,filter,6.33333333333,345.330460453,5.88999160568,8.2944374508E-07,352.183309657,0.00525382952951,295.349768448,3.68063750809
47,139,filter,6.35,338.482769653,5.89124141159,1.8600453736E-06,346.138894095,0.00401402541415,315.470606129,3.2643405511
48,140,filter,6.36666666667,331.770864354,5.91153372126,1.742203223E-06,339.651629925,0.00606067387103,297.357473873,4.4626676552
49,141,filter,6.38333333333,325.192052011,5.91604007316,1.88091856062E-06,332.283107348,0.00150757765548,421.560287601,2.28059452113
50,142,filter,6.4,365.668235007,5.97226450571,1.61018441077E-06,370.436619328,0.00397604065244,312.260106386,2.96076557552
51,143,filter,6.41666666667,358.417258637,5.97453374328,1.58261313472E-06,364.243666316,0.00750901272456,258.567527603,3.89871506415
52,144,filter,6.43333333333,351.310064672,5.98299831073,9.83211851112E-07,357.501352921,0.00224914489199,333.070037421,1.97404607025
53,145,filter,6.45,344.343801995,5.98953171123,1.34877838528E-06,351.130581753,0.0025064863743,288.842514382,1.68452332052
54,146,filter,6.46666666667,337.515676026,6.00721118428,6.41625893593E-07,345.097697638,0.00414896042286,268.494849597,2.45149563446
55,147,filter,6.48333333333,330.822947598,6.02127406957,1.79511277338E-06,338.617193479,0.00333482402618,339.911241738,3.21844778584
56,148,filter,6.5,324.262931862,6.02854081269,9.6063767888E-07,331.433330479,0.00202328980874,324.025319034,1.81300519714
57,10,blind,6.6,nan,6.11385360292,1.82128766209E-06,nan,nan,nan,nan
58,11,blind,6.62,nan,6.13849147611,1.66589191509E-06,nan,nan,nan,nan
59,12,blind,6.64,nan,6.16169086712,3.46513558451E-06,nan,nan,nan,nan
60,13,blind,6.66,nan,6.19618422616,1.3968195372E-06,nan,nan,nan,nan
61,14,blind,6.68,nan,6.21344004646,9.1351165042E-07,nan,nan,nan,nan
62,15,blind,6.7,nan,6.25544180617,1.16910644164E-06,nan,nan,nan,nan
