# slice# index_from index_below freq (GHz)
232 37797 37960 311.6
233 37960 38122 311.65
234 38122 38285 311.7
235 38285 38447 311.75
236 38447 38611 311.8
237 38611 38773 311.85
238 38773 38936 311.9
239 38936 39099 311.95
240 39099 39262 312.0
241 39262 39425 312.05
242 39425 39587 312.1
243 39587 39751 312.15
244 39751 39913 312.2
245 39913 40076 312.25
246 40076 40239 312.3
247 40239 40402 312.35
248 40402 40565 312.4
249 40565 40728 312.45
250 40728 40890 312.5
251 40890 41053 312.55
252 41053 41215 312.6
253 41215 41378 312.65
254 41378 41541 312.7
255 41541 41704 312.75
256 41704 41866 312.8
257 41866 42030 312.85
258 42030 42192 312.9
259 42192 42355 312.95
260 42355 42519 313.0
261 42519 42681 313.05
262 42681 42844 313.1
263 42844 43007 313.15
264 43007 43170 313.2
265 43170 43332 313.25
266 43332 43495 313.3
267 43495 43657 313.35
268 43657 43820 313.4
269 43820 43983 313.45
270 43983 44145 313.5
271 44145 44309 313.55
272 44309 44471 313.6
273 44471 44634 313.65
274 44634 44798 313.7
275 44798 44960 313.75
276 44960 45123 313.8
277 45123 45286 313.85
278 45286 45449 313.9
279 45449 45611 313.95
280 45611 45774 314.0
281 45774 45937 314.05
282 45937 46099 314.1
283 46099 46261 314.15
284 46261 46424 314.2
285 46424 46587 314.25
286 46587 46750 314.3
287 46750 46913 314.35
288 46913 47076 314.4
289 47076 47239 314.45
290 47239 47401 314.5
291 47401 47564 314.55
292 47564 47726 314.6
293 47726 47889 314.65
294 47889 48052 314.7
295 48052 48214 314.75
296 48214 48377 314.8
297 48377 48540 314.85
298 48540 48702 314.9
299 48702 48866 314.95
300 48866 49029 315.0
301 49029 49191 315.05
302 49191 49355 315.1
303 49355 49517 315.15
304 49517 49680 315.2
305 49680 49844 315.25
306 49844 50006 315.3
307 50006 50169 315.35
308 50169 50332 315.4
309 50332 50495 315.45
310 50495 50657 315.5
311 50657 50820 315.55
312 50820 50982 315.6
313 50982 51145 315.65
314 51145 51307 315.7
315 51307 51470 315.75
316 51470 51633 315.8
317 51633 51795 315.85
318 51795 51959 315.9
319 51959 52122 315.95
320 52122 52284 316.0
321 52284 52448 316.05
322 52448 52610 316.1
323 52610 52772 316.15
324 52772 52935 316.2
325 52935 53098 316.25
326 53098 53260 316.3
327 53260 53423 316.35
328 53423 53586 316.4
329 53586 53748 316.45
330 53748 53911 316.5
331 53911 54074 316.55
332 54074 54237 316.6
333 54237 54400 316.65
334 54400 54563 316.7
335 54563 54726 316.75
336 54726 54888 316.8
337 54888 55051 316.85
338 55051 55214 316.9
339 55214 55376 316.95
340 55376 55539 317.0
341 55539 55702 317.05
342 55702 55865 317.1
343 55865 56028 317.15
344 56028 56190 317.2
345 56190 56354 317.25
346 56354 56516 317.3
347 56516 56679 317.35
348 56679 56842 317.4
349 56842 57005 317.45
350 57005 57168 317.5
351 57168 57331 317.55
352 57331 57494 317.6
353 57494 57657 317.65
354 57657 57822 317.7
355 57822 57984 317.75
356 57984 58147 317.8
357 58147 58310 317.85
358 58310 58472 317.9
359 58472 58635 317.95
360 58635 58799 318.0
361 58799 58962 318.05
362 58962 59124 318.1
363 59124 59288 318.15
364 59288 59450 318.2
365 59450 59613 318.25
366 59613 59775 318.3
367 59775 59938 318.35
368 59938 60100 318.4
369 60100 60262 318.45
370 60262 60425 318.5
371 60425 60588 318.55
372 60588 60751 318.6
373 60751 60913 318.65
374 60913 61076 318.7
375 61076 61239 318.75
376 61239 61402 318.8
377 61402 61565 318.85
378 61565 61727 318.9
379 61727 61890 318.95
380 61890 62053 319.0
381 62053 62215 319.05
382 62215 62378 319.1
383 62378 62540 319.15
384 62540 62703 319.2
385 62703 62866 319.25
386 62866 63028 319.3
387 63028 63191 319.35
388 63191 63353 319.4
389 63353 63516 319.45
390 63516 63678 319.5
391 63678 63841 319.55
392 63841 64004 319.6
393 64004 64166 319.65
394 64166 64329 319.7
395 64329 64492 319.75
396 64492 64655 319.8
397 64655 64818 319.85
398 64818 64980 319.9
399 64980 65143 319.95
400 65143 65305 320.0
401 65305 65468 320.05
402 65468 65630 320.1
403 65630 65793 320.15
404 65793 65955 320.2
405 65955 66118 320.25
406 66118 66280 320.3
407 66280 66443 320.35
408 66443 66605 320.4
409 66605 66768 320.45
410 66768 66931 320.5
411 66931 67094 320.55
412 67094 67256 320.6
413 67256 67418 320.65
414 67418 67581 320.7
415 67581 67743 320.75
416 67743 67905 320.8
417 67905 68068 320.85
418 68068 68231 320.9
419 68231 68393 320.95
420 68393 68556 321.0
421 68556 68719 321.05
422 68719 68882 321.1
423 68882 69044 321.15
424 69044 69207 321.2
425 69207 69369 321.25
426 69369 69531 321.3
427 69531 69694 321.35
428 69694 69856 321.4
429 69856 70019 321.45
430 70019 70182 321.5
431 70182 70344 321.55
432 70344 70508 321.6
433 70508 70670 321.65
434 70670 70833 321.7
435 70833 70995 321.75
436 70995 71158 321.8
437 71158 71320 321.85
438 71320 71483 321.9
439 71483 71645 321.95
440 71645 71809 322.0
441 71809 71971 322.05
442 71971 72133 322.1
443 72133 72297 322.15
444 72297 72459 322.2
445 72459 72622 322.25
446 72622 72785 322.3
447 72785 72948 322.35
448 72948 73111 322.4
449 73111 73274 322.45
450 73274 73438 322.5
451 73438 73601 322.55
452 73601 73764 322.6
453 73764 73927 322.65
454 73927 74090 322.7
455 74090 74253 322.75
456 74253 74416 322.8
457 74416 74579 322.85
458 74579 74742 322.9
459 74742 74905 322.95
460 74905 75067 323.0
461 75067 75230 323.05
462 75230 75393 323.1
463 75393 75556 323.15
464 75556 75719 323.2
465 75719 75882 323.25
466 75882 76044 323.3
467 76044 76208 323.35
468 76208 76371 323.4
469 76371 76533 323.45
470 76533 76697 323.5
471 76697 76860 323.55
472 76860 77022 323.6
473 77022 77184 323.65
474 77184 77347 323.7
475 77347 77509 323.75
476 77509 77671 323.8
477 77671 77834 323.85
478 77834 77997 323.9
479 77997 78160 323.95
480 78160 78322 324.0
481 78322 78485 324.05
482 78485 78648 324.1
483 78648 78810 324.15
484 78810 78973 324.2
485 78973 79135 324.25
486 79135 79298 324.3
487 79298 79461 324.35
488 79461 79624 324.4
489 79624 79787 324.45
490 79787 79949 324.5
491 79949 80112 324.55
492 80112 80275 324.6
493 80275 80438 324.65
494 80438 80601 324.7
495 80601 80763 324.75
496 80763 80926 324.8
497 80926 81089 324.85
498 81089 81252 324.9
499 81252 81415 324.95
500 81415 81578 325.0
501 81578 81741 325.05
502 81741 81903 325.1
503 81903 82066 325.15
504 82066 82229 325.2
505 82229 82392 325.25
506 82392 82554 325.3
507 82554 82717 325.35
508 82717 82879 325.4
509 82879 83042 325.45
510 83042 83204 325.5
511 83204 83367 325.55
512 83367 83530 325.6
513 83530 83693 325.65
514 83693 83856 325.7
515 83856 84019 325.75
516 84019 84181 325.8
517 84181 84345 325.85
518 84345 84507 325.9
519 84507 84670 325.95
520 84670 84833 326.0
521 84833 84996 326.05
522 84996 85159 326.1
523 85159 85322 326.15
524 85322 85485 326.2
525 85485 85647 326.25
526 85647 85811 326.3
527 85811 85973 326.35
528 85973 86136 326.4
529 86136 86300 326.45
530 86300 86462 326.5
531 86462 86625 326.55
532 86625 86788 326.6
533 86788 86951 326.65
534 86951 87113 326.7
535 87113 87276 326.75
536 87276 87438 326.8
537 87438 87601 326.85
538 87601 87763 326.9
539 87763 87926 326.95
540 87926 88089 327.0
541 88089 88251 327.05
542 88251 88414 327.1
543 88414 88577 327.15
544 88577 88740 327.2
545 88740 88903 327.25
546 88903 89065 327.3
547 89065 89228 327.35
548 89228 89391 327.4
549 89391 89553 327.45
550 89553 89716 327.5
551 89716 89879 327.55
552 89879 90041 327.6
553 90041 90204 327.65
554 90204 90367 327.7
555 90367 90530 327.75
556 90530 90692 327.8
557 90692 90855 327.85
558 90855 91018 327.9
559 91018 91180 327.95
560 91180 91344 328.0
561 91344 91507 328.05
562 91507 91670 328.1
563 91670 91834 328.15
564 91834 91996 328.2
565 91996 92159 328.25
566 92159 92321 328.3
567 92321 92484 328.35
568 92484 92646 328.4
569 92646 92809 328.45
570 92809 92972 328.5
571 92972 93134 328.55
572 93134 93297 328.6
573 93297 93460 328.65
574 93460 93623 328.7
575 93623 93786 328.75
576 93786 93948 328.8
577 93948 94112 328.85
578 94112 94274 328.9
579 94274 94437 328.95
580 94437 94601 329.0
581 94601 94763 329.05
582 94763 94926 329.1
583 94926 95088 329.15
584 95088 95251 329.2
585 95251 95413 329.25
586 95413 95576 329.3
587 95576 95739 329.35
588 95739 95902 329.4
589 95902 96065 329.45
590 96065 96228 329.5
591 96228 96390 329.55
592 96390 96553 329.6
593 96553 96716 329.65
594 96716 96879 329.7
595 96879 97042 329.75
596 97042 97204 329.8
597 97204 97368 329.85
598 97368 97530 329.9
599 97530 97693 329.95
600 97693 97856 330.0
601 97856 98019 330.05
602 98019 98182 330.1
603 98182 98344 330.15
604 98344 98508 330.2
605 98508 98671 330.25
606 98671 98833 330.3
607 98833 98996 330.35
608 98996 99159 330.4
609 99159 99322 330.45
610 99322 99485 330.5
611 99485 99648 330.55
612 99648 99811 330.6
613 99811 99973 330.65
614 99973 100137 330.7
615 100137 100299 330.75
616 100299 100462 330.8
617 100462 100626 330.85
618 100626 100789 330.9
619 100789 100952 330.95
620 100952 101115 331.0
621 101115 101278 331.05
622 101278 101440 331.1
623 101440 101603 331.15
624 101603 101765 331.2
625 101765 101929 331.25
626 101929 102091 331.3
627 102091 102254 331.35
628 102254 102417 331.4
629 102417 102580 331.45
630 102580 102742 331.5
631 102742 102906 331.55
632 102906 103068 331.6
633 103068 103231 331.65
634 103231 103394 331.7
635 103394 103557 331.75
636 103557 103720 331.8
637 103720 103882 331.85
638 103882 104045 331.9
639 104045 104208 331.95
640 104208 104371 332.0
641 104371 104534 332.05
642 104534 104696 332.1
643 104696 104859 332.15
644 104859 105022 332.2
645 105022 105185 332.25
646 105185 105347 332.3
647 105347 105510 332.35
648 105510 105673 332.4
649 105673 105836 332.45
650 105836 105999 332.5
651 105999 106161 332.55
652 106161 106324 332.6
653 106324 106486 332.65
654 106486 106649 332.7
655 106649 106812 332.75
656 106812 106975 332.8
657 106975 107138 332.85
658 107138 107300 332.9
659 107300 107463 332.95
660 107463 107626 333.0
661 107626 107788 333.05
662 107788 107952 333.1
663 107952 108115 333.15
664 108115 108277 333.2
665 108277 108441 333.25
666 108441 108603 333.3
667 108603 108766 333.35
668 108766 108930 333.4
669 108930 109092 333.45
670 109092 109255 333.5
671 109255 109418 333.55
672 109418 109581 333.6
673 109581 109744 333.65
674 109744 109908 333.7
675 109908 110070 333.75
676 110070 110233 333.8
677 110233 110395 333.85
678 110395 110558 333.9
679 110558 110720 333.95
680 110720 110883 334.0
681 110883 111046 334.05
682 111046 111208 334.1
683 111208 111371 334.15
684 111371 111533 334.2
685 111533 111697 334.25
686 111697 111859 334.3
687 111859 112022 334.35
688 112022 112184 334.4
689 112184 112347 334.45
690 112347 112510 334.5
691 112510 112672 334.55
692 112672 112836 334.6
693 112836 112998 334.65
694 112998 113161 334.7
695 113161 113324 334.75
696 113324 113487 334.8
697 113487 113650 334.85
698 113650 113812 334.9
699 113812 113975 334.95
700 113975 114137 335.0
701 114137 114301 335.05
702 114301 114463 335.1
703 114463 114625 335.15
704 114625 114789 335.2
705 114789 114952 335.25
706 114952 115114 335.3
707 115114 115276 335.35
708 115276 115439 335.4
709 115439 115602 335.45
710 115602 115765 335.5
711 115765 115927 335.55
712 115927 116090 335.6
713 116090 116253 335.65
714 116253 116416 335.7
715 116416 116579 335.75
716 116579 116742 335.8
717 116742 116904 335.85
718 116904 117068 335.9
719 117068 117230 335.95
720 117230 117393 336.0
721 117393 117555 336.05
722 117555 117718 336.1
723 117718 117880 336.15
724 117880 118042 336.2
725 118042 118206 336.25
726 118206 118368 336.3
727 118368 118531 336.35
728 118531 118693 336.4
729 118693 118857 336.45
730 118857 119020 336.5
731 119020 119182 336.55
732 119182 119345 336.6
733 119345 119507 336.65
734 119507 119670 336.7
735 119670 119832 336.75
736 119832 119995 336.8
737 119995 120158 336.85
738 120158 120321 336.9
739 120321 120483 336.95
740 120483 120647 337.0
741 120647 120809 337.05
742 120809 120972 337.1
743 120972 121134 337.15
744 121134 121297 337.2
745 121297 121459 337.25
746 121459 121622 337.3
747 121622 121784 337.35
748 121784 121947 337.4
749 121947 122110 337.45
750 122110 122272 337.5
751 122272 122436 337.55
752 122436 122598 337.6
753 122598 122761 337.65
754 122761 122923 337.7
755 122923 123086 337.75
756 123086 123248 337.8
757 123248 123411 337.85
758 123411 123574 337.9
759 123574 123737 337.95
760 123737 123899 338.0
761 123899 124061 338.05
762 124061 124225 338.1
763 124225 124387 338.15
764 124387 124550 338.2
765 124550 124713 338.25
766 124713 124876 338.3
767 124876 125038 338.35
768 125038 125202 338.4
769 125202 125364 338.45
770 125364 125527 338.5
771 125527 125691 338.55
772 125691 125853 338.6
773 125853 126016 338.65
774 126016 126180 338.7
775 126180 126342 338.75
776 126342 126505 338.8
777 126505 126667 338.85
778 126667 126830 338.9
779 126830 126992 338.95
780 126992 127155 339.0
781 127155 127318 339.05
782 127318 127481 339.1
783 127481 127643 339.15
784 127643 127806 339.2
785 127806 127969 339.25
786 127969 128133 339.3
787 128133 128295 339.35
788 128295 128458 339.4
789 128458 128621 339.45
790 128621 128784 339.5
791 128784 128946 339.55
792 128946 129109 339.6
793 129109 129272 339.65
794 129272 129434 339.7
795 129434 129597 339.75
796 129597 129761 339.8
797 129761 129923 339.85
798 129923 130086 339.9
799 130086 130249 339.95
800 130249 130412 340.0
801 130412 130574 340.05
802 130574 130738 340.1
803 130738 130900 340.15
804 130900 131063 340.2
805 131063 131227 340.25
806 131227 131389 340.3
807 131389 131551 340.35
808 131551 131714 340.4
809 131714 131877 340.45
810 131877 132039 340.5
811 132039 132202 340.55
812 132202 132365 340.6
813 132365 132527 340.65
814 132527 132690 340.7
815 132690 132852 340.75
816 132852 133016 340.8
817 133016 133178 340.85
818 133178 133341 340.9
819 133341 133504 340.95
820 133504 133666 341.0
821 133666 133829 341.05
822 133829 133993 341.1
823 133993 134155 341.15
824 134155 134318 341.2
825 134318 134480 341.25
826 134480 134643 341.3
827 134643 134805 341.35
828 134805 134968 341.4
829 134968 135131 341.45
830 135131 135293 341.5
831 135293 135456 341.55
832 135456 135619 341.6
833 135619 135782 341.65
834 135782 135945 341.7
835 135945 136108 341.75
836 136108 136270 341.8
837 136270 136433 341.85
838 136433 136596 341.9
839 136596 136758 341.95
840 136758 136921 342.0
841 136921 137084 342.05
842 137084 137246 342.1
843 137246 137410 342.15
844 137410 137573 342.2
845 137573 137735 342.25
846 137735 137898 342.3
847 137898 138061 342.35
848 138061 138224 342.4
849 138224 138387 342.45
850 138387 138550 342.5
851 138550 138713 342.55
852 138713 138875 342.6
853 138875 139038 342.65
854 139038 139201 342.7
855 139201 139363 342.75
856 139363 139526 342.8
857 139526 139689 342.85
858 139689 139851 342.9
859 139851 140014 342.95
860 140014 140176 343.0
861 140176 140340 343.05
862 140340 140502 343.1
863 140502 140665 343.15
864 140665 140828 343.2
865 140828 140991 343.25
866 140991 141153 343.3
867 141153 141317 343.35
868 141317 141479 343.4
869 141479 141642 343.45
870 141642 141806 343.5
871 141806 141968 343.55
872 141968 142131 343.6
873 142131 142294 343.65
874 142294 142456 343.7
875 142456 142619 343.75
876 142619 142781 343.8
877 142781 142945 343.85
878 142945 143107 343.9
879 143107 143270 343.95
880 143270 143432 344.0
881 143432 143595 344.05
882 143595 143758 344.1
883 143758 143921 344.15
884 143921 144084 344.2
885 144084 144246 344.25
886 144246 144409 344.3
887 144409 144571 344.35
888 144571 144733 344.4
889 144733 144896 344.45
890 144896 145059 344.5
891 145059 145222 344.55
892 145222 145385 344.6
893 145385 145548 344.65
894 145548 145711 344.7
895 145711 145874 344.75
896 145874 146036 344.8
897 146036 146199 344.85
898 146199 146362 344.9
899 146362 146525 344.95
900 146525 146688 345.0
901 146688 146851 345.05
902 146851 147013 345.1
903 147013 147176 345.15
904 147176 147339 345.2
905 147339 147501 345.25
906 147501 147664 345.3
907 147664 147827 345.35
908 147827 147989 345.4
909 147989 148152 345.45
910 148152 148315 345.5
911 148315 148478 345.55
912 148478 148640 345.6
913 148640 148803 345.65
914 148803 148966 345.7
915 148966 149128 345.75
916 149128 149291 345.8
917 149291 149453 345.85
918 149453 149616 345.9
919 149616 149779 345.95
920 149779 149941 346.0
921 149941 150105 346.05
922 150105 150267 346.1
923 150267 150430 346.15
924 150430 150593 346.2
925 150593 150755 346.25
926 150755 150918 346.3
927 150918 151081 346.35
928 151081 151243 346.4
929 151243 151406 346.45
930 151406 151569 346.5
931 151569 151732 346.55
932 151732 151895 346.6
933 151895 152057 346.65
934 152057 152220 346.7
935 152220 152383 346.75
936 152383 152545 346.8
937 152545 152708 346.85
938 152708 152872 346.9
939 152872 153034 346.95
940 153034 153197 347.0
941 153197 153360 347.05
942 153360 153523 347.1
943 153523 153685 347.15
944 153685 153849 347.2
945 153849 154012 347.25
946 154012 154174 347.3
947 154174 154337 347.35
948 154337 154500 347.4
949 154500 154663 347.45
950 154663 154825 347.5
951 154825 154987 347.55
952 154987 155150 347.6
953 155150 155312 347.65
954 155312 155475 347.7
955 155475 155638 347.75
956 155638 155802 347.8
957 155802 155964 347.85
958 155964 156128 347.9
959 156128 156290 347.95
960 156290 156453 348.0
961 156453 156616 348.05
962 156616 156779 348.1
963 156779 156941 348.15
964 156941 157105 348.2
965 157105 157268 348.25
966 157268 157430 348.3
967 157430 157592 348.35
968 157592 157755 348.4
969 157755 157918 348.45
970 157918 158080 348.5
971 158080 158243 348.55
972 158243 158406 348.6
973 158406 158568 348.65
974 158568 158731 348.7
975 158731 158894 348.75
976 158894 159057 348.8
977 159057 159219 348.85
978 159219 159382 348.9
979 159382 159545 348.95
980 159545 159707 349.0
981 159707 159870 349.05
982 159870 160032 349.1
983 160032 160196 349.15
984 160196 160358 349.2
985 160358 160521 349.25
986 160521 160684 349.3
987 160684 160847 349.35
988 160847 161009 349.4
989 161009 161173 349.45
990 161173 161335 349.5
991 161335 161498 349.55
992 161498 161661 349.6
993 161661 161824 349.65
994 161824 161987 349.7
995 161987 162150 349.75
996 162150 162312 349.8
997 162312 162475 349.85
998 162475 162637 349.9
999 162637 162800 349.95
1000 162800 162963 350.0
1001 162963 163125 350.05
1002 163125 163288 350.1
1003 163288 163451 350.15
1004 163451 163614 350.2
1005 163614 163776 350.25
1006 163776 163940 350.3
1007 163940 164102 350.35
1008 164102 164265 350.4
1009 164265 164427 350.45
1010 164427 164590 350.5
1011 164590 164753 350.55
1012 164753 164915 350.6
1013 164915 165079 350.65
1014 165079 165242 350.7
1015 165242 165404 350.75
1016 165404 165567 350.8
1017 165567 165730 350.85
1018 165730 165893 350.9
1019 165893 166056 350.95
1020 166056 166219 351.0
1021 166219 166382 351.05
1022 166382 166544 351.1
1023 166544 166707 351.15
1024 166707 166870 351.2
1025 166870 167033 351.25
1026 167033 167195 351.3
1027 167195 167358 351.35
1028 167358 167521 351.4
1029 167521 167684 351.45
1030 167684 167846 351.5
1031 167846 168011 351.55
1032 168011 168173 351.6
1033 168173 168336 351.65
1034 168336 168498 351.7
1035 168498 168660 351.75
1036 168660 168822 351.8
1037 168822 168985 351.85
1038 168985 169147 351.9
1039 169147 169310 351.95
1040 169310 169473 352.0
1041 169473 169635 352.05
1042 169635 169798 352.1
1043 169798 169961 352.15
1044 169961 170123 352.2
1045 170123 170287 352.25
1046 170287 170449 352.3
1047 170449 170612 352.35
1048 170612 170775 352.4
1049 170775 170938 352.45
1050 170938 171100 352.5
1051 171100 171264 352.55
1052 171264 171426 352.6
1053 171426 171589 352.65
1054 171589 171751 352.7
1055 171751 171914 352.75
1056 171914 172077 352.8
1057 172077 172239 352.85
1058 172239 172402 352.9
1059 172402 172565 352.95
1060 172565 172728 353.0
1061 172728 172890 353.05
1062 172890 173053 353.1
1063 173053 173216 353.15
1064 173216 173378 353.2
1065 173378 173542 353.25
1066 173542 173704 353.3
1067 173704 173866 353.35
1068 173866 174029 353.4
1069 174029 174192 353.45
1070 174192 174355 353.5
1071 174355 174517 353.55
1072 174517 174680 353.6
1073 174680 174843 353.65
1074 174843 175006 353.7
1075 175006 175168 353.75
1076 175168 175332 353.8
1077 175332 175495 353.85
1078 175495 175658 353.9
1079 175658 175822 353.95
1080 175822 175985 354.0
1081 175985 176147 354.05
1082 176147 176311 354.1
1083 176311 176473 354.15
1084 176473 176636 354.2
1085 176636 176799 354.25
1086 176799 176962 354.3
1087 176962 177124 354.35
1088 177124 177287 354.4
1089 177287 177449 354.45
1090 177449 177613 354.5
1091 177613 177776 354.55
1092 177776 177938 354.6
1093 177938 178102 354.65
1094 178102 178265 354.7
1095 178265 178427 354.75
